location_id,location,location_name,year,age_group_id,age_group,age_start,age_end,sex_id,sex,unit,metric,measure,mean,lower,upper
6,CHN,China,1990,34,2 to 4 yrs,2,4,1,male,pct,overweight,prevalence,0.189,0.142,0.243
6,CHN,China,1990,34,2 to 4 yrs,2,4,1,male,pct,obese,prevalence,0.093,0.067,0.125
6,CHN,China,1990,36,"2 to 19 yrs, age-standardized",2,19,1,male,pct,overweight,prevalence,0.099,0.086,0.115
6,CHN,China,1990,36,"2 to 19 yrs, age-standardized",2,19,1,male,pct,obese,prevalence,0.051,0.042,0.061
6,CHN,China,1990,6,5 to 9 yrs,5,9,1,male,pct,overweight,prevalence,0.085,0.063,0.11
6,CHN,China,1990,6,5 to 9 yrs,5,9,1,male,pct,obese,prevalence,0.059,0.042,0.082
6,CHN,China,1990,7,10 to 14 yrs,10,14,1,male,pct,obese,prevalence,0.031,0.022,0.043
6,CHN,China,1990,7,10 to 14 yrs,10,14,1,male,pct,overweight,prevalence,0.096,0.071,0.125
6,CHN,China,1990,8,15 to 19 yrs,15,19,1,male,pct,overweight,prevalence,0.039,0.029,0.051
6,CHN,China,1990,8,15 to 19 yrs,15,19,1,male,pct,obese,prevalence,0.025,0.016,0.037
6,CHN,China,1990,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.014,0.01,0.02
6,CHN,China,1990,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.041,0.032,0.05
6,CHN,China,1990,38,"20+ yrs, age-standardized",20,100,1,male,pct,overweight,prevalence,0.117,0.11,0.123
6,CHN,China,1990,38,"20+ yrs, age-standardized",20,100,1,male,pct,obese,prevalence,0.018,0.016,0.02
6,CHN,China,1990,10,25 to 29 yrs,25,29,1,male,pct,overweight,prevalence,0.062,0.05,0.074
6,CHN,China,1990,10,25 to 29 yrs,25,29,1,male,pct,obese,prevalence,0.017,0.011,0.026
6,CHN,China,1990,11,30 to 34 yrs,30,34,1,male,pct,obese,prevalence,0.017,0.011,0.025
6,CHN,China,1990,11,30 to 34 yrs,30,34,1,male,pct,overweight,prevalence,0.102,0.085,0.122
6,CHN,China,1990,12,35 to 39 yrs,35,39,1,male,pct,obese,prevalence,0.015,0.011,0.022
6,CHN,China,1990,12,35 to 39 yrs,35,39,1,male,pct,overweight,prevalence,0.108,0.09,0.129
6,CHN,China,1990,13,40 to 44 yrs,40,44,1,male,pct,overweight,prevalence,0.13,0.108,0.154
6,CHN,China,1990,13,40 to 44 yrs,40,44,1,male,pct,obese,prevalence,0.018,0.013,0.025
6,CHN,China,1990,14,45 to 49 yrs,45,49,1,male,pct,obese,prevalence,0.019,0.012,0.026
6,CHN,China,1990,14,45 to 49 yrs,45,49,1,male,pct,overweight,prevalence,0.135,0.11,0.165
6,CHN,China,1990,15,50 to 54 yrs,50,54,1,male,pct,overweight,prevalence,0.154,0.125,0.189
6,CHN,China,1990,15,50 to 54 yrs,50,54,1,male,pct,obese,prevalence,0.02,0.014,0.029
6,CHN,China,1990,16,55 to 59 yrs,55,59,1,male,pct,obese,prevalence,0.022,0.016,0.03
6,CHN,China,1990,16,55 to 59 yrs,55,59,1,male,pct,overweight,prevalence,0.19,0.153,0.233
6,CHN,China,1990,17,60 to 64 yrs,60,64,1,male,pct,overweight,prevalence,0.168,0.133,0.208
6,CHN,China,1990,17,60 to 64 yrs,60,64,1,male,pct,obese,prevalence,0.02,0.014,0.027
6,CHN,China,1990,18,65 to 69 yrs,65,69,1,male,pct,obese,prevalence,0.022,0.015,0.032
6,CHN,China,1990,18,65 to 69 yrs,65,69,1,male,pct,overweight,prevalence,0.17,0.134,0.21
6,CHN,China,1990,19,70 to 74 yrs,70,74,1,male,pct,overweight,prevalence,0.137,0.106,0.174
6,CHN,China,1990,19,70 to 74 yrs,70,74,1,male,pct,obese,prevalence,0.022,0.015,0.03
6,CHN,China,1990,20,75 to 79 yrs,75,79,1,male,pct,overweight,prevalence,0.111,0.083,0.146
6,CHN,China,1990,20,75 to 79 yrs,75,79,1,male,pct,obese,prevalence,0.021,0.014,0.031
